Name,Email,Age,"Feeling nervous, anxious or on edge",Not being able to stop or control worrying,Worrying too much about different things,Trouble relaxing,Being so restless that it is hard to sit still,Becoming easily annoyed or irritable,Feeling afraid as if something awful might happen,Feeling tired or having little energy,Poor appetite or overeating,Feeling bad about yourself—or that you are a failure,Trouble concentrating on things,Moving or speaking so slowly that other people could have noticed,Thoughts that you would be better off dead or of hurting yourself in some way,Anxiety_Score,Stress_Score,Anxiety_Level,Stress_Level
Amy Welch,klawson@example.net,19,Nearly every day,More than half the days,Nearly every day,Not at all,Nearly every day,Several days,More than half the days,Nearly every day,More than half the days,Nearly every day,Several days,More than half the days,Nearly every day,14,17,High,High
Chelsea Green,austinsoto@example.com,21,Not at all,More than half the days,Several days,Nearly every day,More than half the days,Nearly every day,Not at all,Not at all,Not at all,More than half the days,Not at all,More than half the days,Several days,11,21,High,High
Jennifer Mueller,qsantos@example.com,18,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Several days,Several days,Nearly every day,Several days,21,12,High,High
Kyle Chen,robert33@example.com,17,Several days,Nearly every day,More than half the days,Several days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,Not at all,Nearly every day,Not at all,Not at all,15,20,High,High
Marvin Murphy,bishopcourtney@example.net,18,Nearly every day,Nearly every day,Several days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Not at all,More than half the days,More than half the days,Not at all,More than half the days,19,14,High,High
Roy Edwards,cunninghamkathy@example.net,20,Several days,More than half the days,Several days,Nearly every day,Nearly every day,Not at all,Nearly every day,Not at all,Several days,Several days,Not at all,Nearly every day,Several days,13,17,High,High
Leslie Campbell,samantha11@example.net,21,Nearly every day,More than half the days,Nearly every day,More than half the days,Nearly every day,Nearly every day,Several days,Not at all,Several days,More than half the days,More than half the days,Several days,Several days,17,17,High,High
Michael Mendoza,brownjohn@example.net,20,More than half the days,Nearly every day,Several days,Nearly every day,Several days,More than half the days,Not at all,More than half the days,Not at all,Several days,Nearly every day,Not at all,Not at all,12,11,High,High
Cody Mitchell,josephgross@example.com,17,Nearly every day,More than half the days,Nearly every day,Nearly every day,Not at all,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,Not at all,Several days,More than half the days,16,12,High,High
Caitlin Hernandez,jonesmichael@example.com,17,More than half the days,More than half the days,Several days,Not at all,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,Not at all,Not at all,More than half the days,Several days,14,15,High,High
Katrina Thompson,taylorlauren@example.com,17,Several days,More than half the days,Several days,More than half the days,More than half the days,Nearly every day,More than half the days,Not at all,Several days,Several days,Nearly every day,Several days,Several days,13,20,High,High
Angie Williams,stuartbishop@example.org,18,More than half the days,Nearly every day,More than half the days,Several days,More than half the days,Several days,Nearly every day,Not at all,More than half the days,Nearly every day,More than half the days,Not at all,Nearly every day,14,18,High,High
Karen Long,xtaylor@example.net,20,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Not at all,More than half the days,Several days,More than half the days,21,12,High,High
Gregory Riley,vjohnson@example.com,19,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Nearly every day,Not at all,Several days,Nearly every day,20,18,High,High
Bruce Thompson,normanmatthew@example.org,18,More than half the days,Several days,More than half the days,Not at all,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,Nearly every day,Several days,Several days,More than half the days,13,18,High,High
Dustin Rowe,kvasquez@example.com,20,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,Several days,More than half the days,Several days,More than half the days,Nearly every day,Nearly every day,Not at all,Nearly every day,16,17,High,High
Richard Smith,khorn@example.net,18,Nearly every day,Several days,Nearly every day,Nearly every day,Not at all,Nearly every day,Not at all,More than half the days,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,13,15,High,High
Connor Thomas,parkerderek@example.net,21,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,Nearly every day,Nearly every day,21,20,High,High
Kristy Carter,gcrosby@example.com,21,Nearly every day,Several days,Several days,Not at all,Several days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,More than half the days,Not at all,Not at all,12,14,High,High
Eddie Mccormick,daniellesmith@example.net,19,More than half the days,Not at all,More than half the days,More than half the days,Nearly every day,More than half the days,Nearly every day,More than half the days,Not at all,More than half the days,Nearly every day,Nearly every day,More than half the days,14,21,High,High
Christina Rhodes,nicholascoffey@example.net,17,Nearly every day,Several days,Nearly every day,Several days,Nearly every day,Not at all,Several days,Not at all,Nearly every day,More than half the days,More than half the days,Nearly every day,Nearly every day,12,11,High,High
Jay Martin,juanmorris@example.net,20,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Several days,Nearly every day,Several days,Not at all,Nearly every day,Nearly every day,Nearly every day,Several days,17,11,High,High
Michael Crane,courtneyramsey@example.net,19,More than half the days,Not at all,More than half the days,More than half the days,Nearly every day,Several days,Several days,Nearly every day,Several days,Several days,Nearly every day,Several days,More than half the days,11,20,High,High
Kristin Franklin,joseph86@example.net,20,Several days,More than half the days,Not at all,More than half the days,Nearly every day,Not at all,Nearly every day,Nearly every day,Nearly every day,Not at all,More than half the days,More than half the days,Several days,11,13,High,High
Mr. Joshua Gardner DDS,zjohnson@example.net,17,More than half the days,Nearly every day,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Not at all,Nearly every day,Not at all,Several days,More than half the days,19,20,High,High
Kristen Elliott,bonnie27@example.net,21,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Not at all,Nearly every day,More than half the days,More than half the days,Several days,Several days,Not at all,16,16,High,High
Jason Thomas,amandacarrillo@example.net,19,Nearly every day,Nearly every day,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Nearly every day,Several days,Nearly every day,Not at all,Not at all,18,12,High,High
Diane Arnold,sandrews@example.com,17,Nearly every day,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Not at all,Several days,More than half the days,More than half the days,More than half the days,17,14,High,High
Carlos Burns,gward@example.org,20,Several days,More than half the days,Nearly every day,Nearly every day,Several days,Nearly every day,Nearly every day,Not at all,Nearly every day,More than half the days,Nearly every day,Not at all,Not at all,16,16,High,High
Brian Daniels,collinscindy@example.com,19,Several days,More than half the days,Several days,More than half the days,More than half the days,More than half the days,Nearly every day,Not at all,Several days,Nearly every day,Several days,Several days,More than half the days,13,16,High,High
Ricky Martinez,logan31@example.com,17,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,Nearly every day,Nearly every day,Not at all,Nearly every day,More than half the days,Several days,Several days,19,15,High,High
Bradley Wheeler,dlester@example.net,20,More than half the days,Nearly every day,More than half the days,Nearly every day,More than half the days,Nearly every day,Nearly every day,Not at all,Not at all,Not at all,More than half the days,Nearly every day,More than half the days,18,12,High,High
